banking_crisis,bear_market,bull_market,business_confidence,consumer_confidence,debt_crisis,economic_growth,economic_recession,economic_recovery,financial_crisis,inflation,job_creation,job_losses,low_unemployment,recession,stock_market_crash,stock_market_optimism,stock_market_rally,strong_economy,unemployement,Date,SP500,SP500_return_w,SP500_vol_w_4,VIX,VIX_change_w
27,3,13,57,16,51,64,20,15,33,65,43,12,11,5,3,0,0,45,4,2017-09-22 23:59:59.999999999,2502.219970703125,0.0007956062964223,0.0104093479441299,9.59000015258789,-0.0587213127558386
20,3,12,42,32,68,70,24,26,34,71,43,13,14,6,4,0,0,41,4,2017-09-29 23:59:59.999999999,2519.360107421875,0.0068266175254656,0.0092362621669216,9.510000228881836,-0.0083770041817034
25,3,11,42,25,62,65,18,19,30,68,44,27,12,5,4,0,0,42,5,2017-10-06 23:59:59.999999999,2549.330078125,0.0118256665415398,0.0064266456528062,9.649999618530272,0.0146139751955628
37,3,11,50,28,41,75,24,17,35,72,44,27,14,5,4,0,15,36,5,2017-10-13 23:59:59.999999999,2553.169921875,0.0015050835766228,0.0051507469590698,9.609999656677246,-0.0041536885637244
43,3,15,67,35,40,74,27,22,35,75,44,8,15,6,8,0,17,49,4,2017-10-20 23:59:59.999999999,2575.2099609375,0.0085953752491101,0.0043172055881993,9.970000267028809,0.0367764235003493
40,3,12,45,21,44,74,24,19,34,74,43,16,18,6,6,0,0,45,4,2017-10-27 23:59:59.999999999,2581.070068359375,0.0022729991046303,0.004991968884295,9.800000190734863,-0.01719820561771
47,3,14,67,40,51,76,26,20,36,76,47,14,16,6,5,0,0,42,5,2017-11-03 23:59:59.999999999,2587.840087890625,0.0026195167638237,0.0032648033481412,9.140000343322754,-0.0697219821105447
40,3,15,71,31,43,73,30,20,34,74,48,15,22,6,6,0,0,61,5,2017-11-10 23:59:59.999999999,2582.300048828125,-0.002143091303669,0.0044092927743626,11.289999961853027,0.2112569517540198
57,3,14,64,28,43,72,28,20,41,78,46,14,17,7,6,0,0,62,5,2017-11-17 23:59:59.999999999,2578.85009765625,-0.0013368925870375,0.0024433381184831,11.43000030517578,0.0123241297235201
16,3,11,41,20,29,41,16,13,27,61,34,12,12,4,4,0,0,31,3,2017-11-24 23:59:59.999999999,2602.419921875,0.0090981503434451,0.0051333378900059,9.670000076293944,-0.1672131871513028
56,4,18,65,56,41,83,31,23,42,82,46,18,23,8,8,0,19,70,5,2017-12-01 23:59:59.999999999,2642.219970703125,0.0151777104542054,0.0083944869278705,11.43000030517578,0.1672131871513028
72,3,18,62,25,43,82,32,31,45,82,71,11,25,8,8,0,17,64,5,2017-12-08 23:59:59.999999999,2651.5,0.0035060557998552,0.0071270405180092,9.579999923706056,-0.1765639204873705
59,4,18,54,30,44,78,28,22,38,84,46,15,21,7,7,0,0,74,5,2017-12-15 23:59:59.999999999,2675.81005859375,0.0091266425530152,0.0047667889689655,9.420000076293944,-0.0168424873314751
29,4,16,36,20,23,52,14,13,28,65,47,0,14,5,5,0,0,37,4,2017-12-22 23:59:59.999999999,2683.340087890625,0.002810159837451,0.0057574044637428,9.899999618530272,0.0496996219208313
16,3,12,0,18,19,22,7,7,15,52,29,0,8,3,3,0,0,13,3,2017-12-29 23:59:59.999999999,2673.610107421875,-0.003632660679645,0.005222102455824,11.039999961853027,0.1089903187853596
18,3,15,29,20,26,31,11,9,20,51,72,11,17,4,4,0,0,26,5,2018-01-05 23:59:59.999999999,2743.14990234375,0.0256772002062463,0.0125833823887758,9.220000267028809,-0.1801499708631957
20,4,21,45,27,27,52,15,17,25,63,72,15,19,5,7,0,15,39,6,2018-01-12 23:59:59.999999999,2786.239990234375,0.0155861536410508,0.0130954746602845,10.15999984741211,0.0970833606014306
24,5,20,47,20,31,58,20,17,27,62,58,12,20,5,7,0,16,48,5,2018-01-19 23:59:59.999999999,2810.300048828125,0.0085982434344158,0.0123165764275292,11.270000457763672,0.1036859415377361
29,4,21,57,29,29,77,22,21,30,74,73,19,14,6,8,0,16,61,7,2018-01-26 23:59:59.999999999,2872.8701171875,0.0220203143081206,0.0075126232588408,11.079999923706056,-0.017002694236176
