Date,banking_crisis,bear_market,bull_market,business_confidence,consumer_confidence,debt_crisis,economic_growth,economic_recession,economic_recovery,financial_crisis,inflation,job_creation,job_losses,low_unemployment,recession,stock_market_crash,stock_market_optimism,stock_market_rally,strong_economy,unemployement
2019-10-13,28,3,9,62,24,37,64,26,14,29,75,35,25,21,12,4,0,0,50,4
2019-10-20,29,3,10,71,26,44,62,29,14,27,80,38,13,26,11,5,0,0,44,3
2019-10-27,39,3,10,61,43,37,68,29,16,33,75,42,14,21,11,5,0,0,66,3
2019-11-03,37,3,12,63,28,43,65,28,18,31,87,43,11,25,11,5,0,15,62,3
2019-11-10,38,3,12,60,23,45,61,34,19,34,81,34,16,23,9,5,0,0,55,3
2019-11-17,50,4,13,65,28,48,62,34,16,36,81,41,14,24,10,6,0,0,73,4
2019-11-24,28,3,8,36,26,33,33,18,11,28,66,27,10,13,8,3,0,0,34,2
2019-12-01,41,3,12,54,25,50,66,29,19,39,78,51,20,26,10,6,0,0,84,4
2019-12-08,54,3,12,60,26,50,68,34,20,37,81,37,21,27,9,6,0,0,75,4
2019-12-15,36,3,15,45,20,27,52,23,15,25,69,49,18,22,8,6,0,23,78,4
2019-12-22,16,3,9,0,5,18,17,8,0,16,58,20,10,9,6,3,0,16,26,3
2019-12-29,14,3,9,0,16,20,19,10,8,19,52,22,15,10,6,4,0,0,26,3
2020-01-05,22,3,14,36,21,25,37,17,17,21,63,42,10,15,8,6,0,0,58,4
2020-01-12,26,3,13,25,18,36,53,23,16,25,69,40,11,21,8,6,0,19,53,4
2020-01-19,24,3,14,59,18,64,55,22,19,25,69,33,15,22,8,6,0,13,65,4
2020-01-26,28,3,13,60,33,36,70,25,16,26,75,32,8,20,8,8,0,0,66,4
2020-02-02,27,4,14,72,29,36,76,23,20,29,75,78,17,41,9,7,69,13,92,5
2020-02-09,41,3,16,46,28,39,76,30,26,32,83,96,16,23,9,7,0,0,84,4
2020-02-16,42,3,14,73,25,45,74,27,26,32,79,61,17,23,10,7,0,13,73,4
2020-02-23,30,9,21,79,46,49,79,41,23,51,82,46,22,24,20,28,0,36,91,4
2020-03-01,36,7,17,55,28,44,78,39,25,41,81,44,15,21,16,14,0,51,77,4
2020-03-08,41,100,100,65,38,53,56,68,25,68,71,31,25,19,53,54,0,57,73,6
2020-03-15,60,18,30,45,25,51,47,100,58,100,62,22,81,33,100,35,0,23,58,51
2020-03-22,54,15,42,61,32,52,55,71,67,79,81,30,74,65,44,17,0,72,70,76
2020-03-29,56,9,24,66,64,52,66,65,73,66,80,30,85,100,32,12,0,31,66,100
2020-04-05,35,12,29,71,33,41,64,61,74,55,84,39,69,89,29,11,0,100,76,75
2020-04-12,56,8,21,67,33,43,69,55,100,52,85,37,75,88,24,10,0,59,68,71
2020-04-19,35,6,18,84,34,54,71,57,94,51,86,37,85,77,19,10,0,40,100,62
2020-04-26,37,7,20,84,51,43,78,51,100,51,84,35,59,75,18,11,0,61,82,54
2020-05-03,38,6,17,96,34,46,68,55,87,47,89,30,100,64,16,9,0,35,96,44
2020-05-10,36,5,15,83,34,35,61,43,80,39,78,32,79,65,14,8,0,24,87,42
2020-05-17,27,5,17,47,23,31,47,37,81,32,79,31,62,64,11,6,0,39,61,37
2020-05-24,22,5,13,44,35,19,32,27,66,26,63,29,43,58,8,6,0,49,35,37
2020-05-31,15,5,14,37,21,19,33,25,58,27,58,35,45,47,7,6,0,72,47,32
